feature_family_id	neutral_loss_tag	family_center_mz	family_center_rt	primary_evidence	quantifiable_detected_count	quantifiable_rescue_count	duplicate_assigned_count	changed_fields	old_include_in_primary_matrix	old_identity_decision	old_identity_confidence	old_identity_reason	old_row_flags	new_include_in_primary_matrix	new_identity_decision	new_identity_confidence	new_identity_reason	new_row_flags	risk_classification	promotion_state	promotion_reason	promotion_flags	supported_rescue_count	assessed_rescue_count
FAM008297	DNA_dR	307.19	44.2176	owner_complete_link	0	85	0	identity_reason	FALSE	audit_family	review	rescue_only	rescue_only;rescue_only_review	FALSE	audit_family	review	rescue_only_blocked	rescue_only;rescue_only_review	weak	not_applicable			0	0
FAM008360	DNA_dR	309.094	6.67563	owner_complete_link	2	73	0	identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;high_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	43	73
FAM009266	DNA_dR	314.103	7.78767	owner_complete_link	2	56	0	identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;weak_seed_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	53	56
FAM009268	DNA_dR	314.111	15.2492	owner_complete_link	3	82	0	identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;weak_seed_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	67	82
FAM009487	DNA_dR	318.06	8.38616	owner_complete_link	0	85	0	identity_reason	FALSE	audit_family	review	rescue_only	rescue_only;rescue_only_review	FALSE	audit_family	review	rescue_only_blocked	rescue_only;rescue_only_review	weak	not_applicable			0	0
FAM009806	DNA_dR	322.144	16.1585	owner_complete_link	2	83	0	row_flags	FALSE	audit_family	review	review_only	family_consolidation_loser;rescue_heavy;high_backfill_dependency;rescue_only_review	FALSE	audit_family	review	review_only	family_consolidation_loser;rescue_heavy;high_backfill_dependency;high_backfill_dependency_capped;rescue_only_review	supported_backfill_capped	supported	cell_evidence_supported_backfill	high_backfill_dependency_capped	83	83
FAM009957	DNA_dR	323.147	10.8997	owner_complete_link	3	75	0	identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;weak_seed_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	53	75
FAM010681	DNA_dR	329.121	11.9285	owner_complete_link	2	66	0	identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;high_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	54	66
FAM011362	DNA_dR	339.142	8.47894	owner_complete_link	2	83	0	include_in_primary_matrix;identity_decision;identity_confidence;identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	TRUE	production_family	medium	dda_limited_ms2_but_ms1_shape_supported	rescue_heavy;high_backfill_dependency;high_backfill_dependency_capped	supported_backfill_capped	supported	dda_limited_ms2_but_ms1_shape_supported	high_backfill_dependency_capped	83	83
FAM011364	DNA_dR	339.147	16.1155	owner_complete_link	3	82	0	include_in_primary_matrix;identity_decision;identity_confidence;identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	TRUE	production_family	medium	dda_limited_ms2_but_ms1_shape_supported	rescue_heavy;weak_seed_backfill_dependency;high_backfill_dependency_capped	supported_backfill_capped	supported	dda_limited_ms2_but_ms1_shape_supported	high_backfill_dependency_capped	82	82
FAM011900	DNA_dR	346.137	13.7235	owner_complete_link	3	80	0	identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;weak_seed_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	77	80
FAM012392	DNA_dR	351.081	19.0004	owner_complete_link	2	77	0	identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;high_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	73	77
FAM012531	DNA_dR	353.13	8.74374	owner_complete_link	3	78	0	identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;weak_seed_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	65	78
FAM012566	DNA_dR	356.077	10.1656	owner_complete_link	2	83	0	include_in_primary_matrix;identity_decision;identity_confidence;identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	TRUE	production_family	medium	dda_limited_ms2_but_ms1_shape_supported	rescue_heavy;high_backfill_dependency;high_backfill_dependency_capped	supported_backfill_capped	supported	dda_limited_ms2_but_ms1_shape_supported	high_backfill_dependency_capped	83	83
FAM012722	DNA_dR	358.079	18.8578	owner_complete_link	2	67	0	identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;high_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	60	67
FAM012934	DNA_dR	360.189	14.2854	owner_complete_link	2	83	0	include_in_primary_matrix;identity_decision;identity_confidence;identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	TRUE	production_family	medium	dda_limited_ms2_but_ms1_shape_supported	rescue_heavy;high_backfill_dependency;high_backfill_dependency_capped	supported_backfill_capped	supported	dda_limited_ms2_but_ms1_shape_supported	high_backfill_dependency_capped	83	83
FAM013122	DNA_dR	366.104	8.94509	owner_complete_link	2	58	0	identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;weak_seed_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	44	58
FAM013241	DNA_dR	370.194	10.6065	owner_complete_link	3	74	0	identity_reason;row_flags	FALSE	provisional_discovery	review	weak_seed_backfill_dependency	rescue_heavy;weak_seed_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;weak_seed_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	43	74
FAM013299	DNA_dR	372.049	6.70634	owner_complete_link	2	75	0	identity_reason;row_flags	FALSE	provisional_discovery	review	extreme_backfill_dependency	rescue_heavy;high_backfill_dependency;rescue_only_review	FALSE	provisional_discovery	review	low_ms1_assessable_coverage_blocked	rescue_heavy;high_backfill_dependency;low_ms1_assessable_coverage;rescue_only_review	blocked_low_ms1_assessable_coverage	blocked	low_ms1_assessable_coverage_blocked	low_ms1_assessable_coverage	51	75
